"city","state","stateISO","country","countryISO"
"Abee","Alberta","AB","Canada","CA"
"Acadia Valley","Alberta","AB","Canada","CA"
"Acme","Alberta","AB","Canada","CA"
"Aden","Alberta","AB","Canada","CA"
"Aetna","Alberta","AB","Canada","CA"
"Airdrie","Alberta","AB","Canada","CA"
"Alberta Beach","Alberta","AB","Canada","CA"
"Alder Flats","Alberta","AB","Canada","CA"
"Aldersyde","Alberta","AB","Canada","CA"
"Alhambra","Alberta","AB","Canada","CA"
"Alix","Alberta","AB","Canada","CA"
"Alliance","Alberta","AB","Canada","CA"
"Alsike","Alberta","AB","Canada","CA"
"Altario","Alberta","AB","Canada","CA"
"Amisk","Alberta","AB","Canada","CA"
"Andrew","Alberta","AB","Canada","CA"
"Ardmore","Alberta","AB","Canada","CA"
"Armena","Alberta","AB","Canada","CA"
"Arrowwood","Alberta","AB","Canada","CA"
"Ashmont","Alberta","AB","Canada","CA"
"Athabasca","Alberta","AB","Canada","CA"
"Balzac","Alberta","AB","Canada","CA"
"Banff","Alberta","AB","Canada","CA"
"Barnwell","Alberta","AB","Canada","CA"
"Barons","Alberta","AB","Canada","CA"
"Bashaw","Alberta","AB","Canada","CA"
"Bassano","Alberta","AB","Canada","CA"
"Beiseker","Alberta","AB","Canada","CA"
"Bellevue","Alberta","AB","Canada","CA"
"Bellis","Alberta","AB","Canada","CA"
"Benalto","Alberta","AB","Canada","CA"
"Bentley","Alberta","AB","Canada","CA"
"Berwyn","Alberta","AB","Canada","CA"
"Bezanson","Alberta","AB","Canada","CA"
"Big Stone","Alberta","AB","Canada","CA"
"Big Valley","Alberta","AB","Canada","CA"
"Bindloss","Alberta","AB","Canada","CA"
"Birchcliff","Alberta","AB","Canada","CA"
"Bittern Lake","Alberta","AB","Canada","CA"
"Black Diamond","Alberta","AB","Canada","CA"
"Black Falds","Alberta","AB","Canada","CA"
"Blackfalds","Alberta","AB","Canada","CA"
"Blackfoot","Alberta","AB","Canada","CA"
