"city","state","stateISO","country","countryISO","zipCode"
"Abee","Alberta","AB","Canada","CA","T0A0A0"
"Acadia Valley","Alberta","AB","Canada","CA","T0J0A0"
"Acme","Alberta","AB","Canada","CA","T0M0A0"
"Acme","Alberta","AB","Canada","CA","TOM1Y0"
"Aden","Alberta","AB","Canada","CA","T0K0A0"
"Aetna","Alberta","AB","Canada","CA","T0K1Y0"
"Airdrie","Alberta","AB","Canada","CA","T4A1E1"
"Airdrie","Alberta","AB","Canada","CA","T4A1N6"
"Airdrie","Alberta","AB","Canada","CA","T4A1R2"
"Airdrie","Alberta","AB","Canada","CA","T4A1R6"
"Airdrie","Alberta","AB","Canada","CA","T4A1S1"
"Airdrie","Alberta","AB","Canada","CA","T4A1S3"
"Airdrie","Alberta","AB","Canada","CA","T4A1S4"
"Airdrie","Alberta","AB","Canada","CA","T4A1T4"
"Airdrie","Alberta","AB","Canada","CA","T4A1W2"
"Airdrie","Alberta","AB","Canada","CA","T4A1Y7"
"Airdrie","Alberta","AB","Canada","CA","T4A1Y8"
"Airdrie","Alberta","AB","Canada","CA","T4A2A2"
"Airdrie","Alberta","AB","Canada","CA","T4A2A5"
"Airdrie","Alberta","AB","Canada","CA","T4A2A6"
"Airdrie","Alberta","AB","Canada","CA","T4A2B2"
"Airdrie","Alberta","AB","Canada","CA","T4A2B3"
"Airdrie","Alberta","AB","Canada","CA","T4A2B7"
"Airdrie","Alberta","AB","Canada","CA","T4B1A4"
"Airdrie","Alberta","AB","Canada","CA","T4B1B9"
"Airdrie","Alberta","AB","Canada","CA","T4B1H6"
"Airdrie","Alberta","AB","Canada","CA","T4B1V5"
"Airdrie","Alberta","AB","Canada","CA","T4B2A3"
"Airdrie","Alberta","AB","Canada","CA","T4B2A4"
"Airdrie","Alberta","AB","Canada","CA","T4B2B4"
"Airdrie","Alberta","AB","Canada","CA","T4B2B5"
"Airdrie","Alberta","AB","Canada","CA","T4B2B6"
"Airdrie","Alberta","AB","Canada","CA","T4B2B7"
"Airdrie","Alberta","AB","Canada","CA","T4B2B8"
"Airdrie","Alberta","AB","Canada","CA","T4B2B9"
"Airdrie","Alberta","AB","Canada","CA","T4B2C6"
"Airdrie","Alberta","AB","Canada","CA","T4B2E2"
"Airdrie","Alberta","AB","Canada","CA","T4B2E5"
"Airdrie","Alberta","AB","Canada","CA","T4B2E7"
"Airdrie","Alberta","AB","Canada","CA","T4B2E8"
"Airdrie","Alberta","AB","Canada","CA","T4B2E9"
"Airdrie","Alberta","AB","Canada","CA","T4B2G1"
"Airdrie","Alberta","AB","Canada","CA","T4B2G2"
"Airdrie","Alberta","AB","Canada","CA","T4B2G7"
"Alberta Beach","Alberta","AB","Canada","CA","T0E0A0"
"Alder Flats","Alberta","AB","Canada","CA","T0C0A0"
